variant,write_ratio,ops,throughput_ops_sec,Nw,Nclf,Nmf
unsorted_leaf,0.9,100000,4.32309e+07,95099,95099,95099
sorted_leaf,0.9,100000,431320,380396,190198,95099
unsorted_leaf,0.5,100000,5.01634e+07,54962,54962,54962
sorted_leaf,0.5,100000,1.26713e+06,219848,109924,54962
unsorted_leaf,0.1,100000,5.23236e+07,15160,15160,15160
sorted_leaf,0.1,100000,1.52593e+07,60640,30320,15160
unsorted_leaf,0,100000,5.74822e+07,5000,5000,5000
sorted_leaf,0,100000,5.8225e+07,20000,10000,5000
