variant,write_ratio,ops,throughput_ops_sec,Nw,Nclf,Nmf
simple_leaf,0.9,100000,418232,380072,190036,95018
bztree_leaf,0.9,100000,386238,285054,285054,190036
simple_leaf,0.5,100000,1.14476e+06,220876,110438,55219
bztree_leaf,0.5,100000,1.14775e+06,165657,165657,110438
simple_leaf,0.1,100000,1.35124e+07,60144,30072,15036
bztree_leaf,0.1,100000,1.34675e+07,45108,45108,30072
simple_leaf,0,100000,4.91482e+07,20000,10000,5000
bztree_leaf,0,100000,4.84877e+07,15000,15000,10000
